1850000.0, USB, OFF, -38.90, -26.90
1850000.0, USB, ON, -8.40, -8.30
1850000.0, LSB, OFF, -25.50, -48.90
1850000.0, LSB, ON, -8.50, -8.30
3550000.0, USB, OFF, -41.20, -31.50
3550000.0, USB, ON, -29.60, -24.90
3550000.0, LSB, OFF, -30.40, -42.50
3550000.0, LSB, ON, -25.00, -29.70
5354000.0, USB, OFF, -37.80, -36.30
5354000.0, USB, ON, -36.40, -32.90
5354000.0, LSB, OFF, -34.30, -47.80
5354000.0, LSB, ON, -29.50, -37.00
7050000.0, USB, OFF, -44.30, -35.70
7050000.0, USB, ON, -31.80, -28.30
7050000.0, LSB, OFF, -36.00, -50.50
7050000.0, LSB, ON, -29.30, -34.80
10120000.0, USB, OFF, -50.20, -33.00
10120000.0, USB, ON, -40.00, -29.80
10120000.0, LSB, OFF, -33.10, -46.10
10120000.0, LSB, ON, -29.90, -38.80
14050000.0, USB, OFF, -28.90, -27.70
14050000.0, USB, ON, -44.60, -32.10
14050000.0, LSB, OFF, -27.10, -31.00
14050000.0, LSB, ON, -21.20, -23.20
18090000.0, USB, OFF, -27.30, -25.10
18090000.0, USB, ON, -28.90, -24.60
18090000.0, LSB, OFF, -24.80, -27.10
18090000.0, LSB, ON, -24.00, -29.50
21000000.0, USB, OFF, -25.50, -23.70
21000000.0, USB, ON, -26.70, -23.30
21000000.0, LSB, OFF, -23.40, -25.70
21000000.0, LSB, ON, -22.90, -25.80
24950000.0, USB, OFF, -26.70, -27.30
24950000.0, USB, ON, -36.50, -39.40
24950000.0, LSB, OFF, -25.80, -26.60
24950000.0, LSB, ON, -21.50, -22.50
27000000.0, USB, OFF, -19.10, -21.60
27000000.0, USB, ON, -21.60, -24.40
27000000.0, LSB, OFF, -19.00, -19.20
27000000.0, LSB, ON, -11.70, -12.00
28000000.0, USB, OFF, -23.00, -25.50
28000000.0, USB, ON, -15.50, -14.80
28000000.0, LSB, OFF, -21.90, -22.50
28000000.0, LSB, ON, -17.10, -16.70
50090000.0, USB, OFF, -15.60, -14.70
50090000.0, USB, ON, -17.00, -14.50
50090000.0, LSB, OFF, -14.50, -16.00
50090000.0, LSB, ON, -14.00, -16.00
