14050000.0, USB, OFF, -35.00, -30.30
14050000.0, USB, ON, -32.00, -28.20
14050000.0, LSB, OFF, -32.60, -34.80
14050000.0, LSB, ON, -22.60, -25.90
18090000.0, USB, OFF, -30.70, -28.40
18090000.0, USB, ON, -37.00, -28.60
18090000.0, LSB, OFF, -28.40, -32.50
18090000.0, LSB, ON, -23.60, -27.80
21000000.0, USB, OFF, -28.90, -27.80
21000000.0, USB, ON, -47.00, -31.40
21000000.0, LSB, OFF, -27.00, -31.00
21000000.0, LSB, ON, -22.00, -25.30
24950000.0, USB, OFF, -30.00, -25.50
24950000.0, USB, ON, -33.90, -25.60
24950000.0, LSB, OFF, -25.10, -31.50
24950000.0, LSB, ON, -21.20, -26.70
27000000.0, USB, OFF, -28.60, -28.10
27000000.0, USB, ON, -33.50, -23.80
27000000.0, LSB, OFF, -25.80, -29.80
27000000.0, LSB, ON, -22.10, -26.90
28000000.0, USB, OFF, -26.10, -25.30
28000000.0, USB, ON, -21.90, -43.90
28000000.0, LSB, OFF, -25.50, -30.70
28000000.0, LSB, ON, -23.60, -26.00
50090000.0, USB, OFF, -22.00, -19.70
50090000.0, USB, ON, -23.10, -19.90
50090000.0, LSB, OFF, -20.00, -21.50
50090000.0, LSB, ON, -19.30, -21.80
