3550000.0, USB, OFF, -26.30, -21.70
3550000.0, USB, ON, -13.90, -16.40
3550000.0, LSB, OFF, -21.50, -27.10
3550000.0, LSB, ON, -16.40, -14.70
5354000.0, USB, OFF, -25.70, -22.70
5354000.0, USB, ON, -7.00, -4.40
5354000.0, LSB, OFF, -20.50, -29.20
5354000.0, LSB, ON, -5.00, -7.40
7050000.0, USB, OFF, -24.20, -22.40
7050000.0, USB, ON, -13.80, -15.40
7050000.0, LSB, OFF, -20.70, -26.80
7050000.0, LSB, ON, -16.40, -14.50
10120000.0, USB, OFF, -38.20, -30.70
10120000.0, USB, ON, -21.80, -21.00
10120000.0, LSB, OFF, -28.90, -54.20
10120000.0, LSB, ON, -18.40, -20.80
14050000.0, USB, OFF, -34.40, -24.40
14050000.0, USB, ON, -18.80, -14.70
14050000.0, LSB, OFF, -26.90, -28.40
14050000.0, LSB, ON, -16.00, -20.60
